person,personLabels,birthDates,birthPlaceLabels,deathDates,deathPlaceLabels,occupationLabels
http://www.wikidata.org/entity/Q60277992,J.C. Puist,1873-06-21T00:00:00Z,J.C. Puist,1900-01-12T00:00:00Z,Leeuwarden,photographer
http://www.wikidata.org/entity/Q60278030,P.H.J. Reynet de la Rue,1839-02-11T00:00:00Z,P.H.J. Reynet de la Rue,1927-07-22T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60278085,"A, Roos",1870-04-28T00:00:00Z,"A, Roos",1959-06-12T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60278114,Ton  Blom,1893-07-27T00:00:00Z,Ton  Blom,1977-09-18T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60278144,Jacobus Johannes Fredericus Boneski,1840-02-13T00:00:00Z,Jacobus Johannes Fredericus Boneski,1913-12-20T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60278200,Henri van den Boogaart,1885-09-10T00:00:00Z,Henri van den Boogaart,1941-05-07T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60278250,Henri Jan Bordes,1870-09-19T00:00:00Z,Henri Jan Bordes,1963-11-08T00:00:00Z,Haarlem,photographer
http://www.wikidata.org/entity/Q60278324,Richard Charles Botter,1895-10-09T00:00:00Z,Richard Charles Botter,1925-04-19T00:00:00Z,Rotterdam,photographer
http://www.wikidata.org/entity/Q60278353,Petrus Eduardus Maria Bouchier,1891-02-25T00:00:00Z,Petrus Eduardus Maria Bouchier,1976-04-29T00:00:00Z,,photographer
http://www.wikidata.org/entity/Q60278830,Johannes Albertus Godefridus Verlinden,1819-12-05T00:00:00Z,Johannes Albertus Godefridus Verlinden,1882-03-12T00:00:00Z,Bergen op Zoom,photographer
http://www.wikidata.org/entity/Q60278955,Frans van der Waals,1873-12-21T00:00:00Z,Frans van der Waals,1917-07-28T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60279064,Joseph Charles Hubert van Waegeningh,1868-10-28T00:00:00Z,Joseph Charles Hubert van Waegeningh,1922-02-07T00:00:00Z,Nijmegen,photographer
http://www.wikidata.org/entity/Q60279383,Carl Ludwig August Lietze,1864-06-14T00:00:00Z,Carl Ludwig August Lietze,1913-10-07T00:00:00Z,Amsterdam,photographer
http://www.wikidata.org/entity/Q60279449,Johan Limpers,1884-08-16T00:00:00Z,Johan Limpers,1933-06-23T00:00:00Z,Haarlem,photographer
http://www.wikidata.org/entity/Q60279491,Johannes Hendricus Marinus Lindeman,1899-11-20T00:00:00Z,Johannes Hendricus Marinus Lindeman,1967-08-19T00:00:00Z,Baarn,photographer
http://www.wikidata.org/entity/Q60279532,Friedrich Theodor Ferdinand Lohmann,1877-10-21T00:00:00Z,Friedrich Theodor Ferdinand Lohmann,1953-05-09T00:00:00Z,The Hague,photographer
http://www.wikidata.org/entity/Q60279571,Cornelis Lookman,1898-08-06T00:00:00Z,Cornelis Lookman,1945-01-08T00:00:00Z,Germany,photographer
http://www.wikidata.org/entity/Q60280296,Hendrik van den Haar,1873-03-05T00:00:00Z,Hendrik van den Haar,1940-08-18T00:00:00Z,Utrecht,photographer
