,subjects
149,http://www.wikidata.org/entity/Q2773015
150,http://www.wikidata.org/entity/Q2778143
151,http://www.wikidata.org/entity/Q2850859
152,http://www.wikidata.org/entity/Q110272
153,http://www.wikidata.org/entity/Q279341
154,http://www.wikidata.org/entity/Q282708
155,http://www.wikidata.org/entity/Q289441
156,http://www.wikidata.org/entity/Q303350
157,http://www.wikidata.org/entity/Q540431
158,http://www.wikidata.org/entity/Q541736
159,http://www.wikidata.org/entity/Q579591
160,http://www.wikidata.org/entity/Q604267
161,http://www.wikidata.org/entity/Q605352
162,http://www.wikidata.org/entity/Q642072
163,http://www.wikidata.org/entity/Q697681
164,http://www.wikidata.org/entity/Q788800
165,http://www.wikidata.org/entity/Q822308
166,http://www.wikidata.org/entity/Q822979
167,http://www.wikidata.org/entity/Q828977
168,http://www.wikidata.org/entity/Q932263
169,http://www.wikidata.org/entity/Q940647
170,http://www.wikidata.org/entity/Q942302
171,http://www.wikidata.org/entity/Q1122322
172,http://www.wikidata.org/entity/Q1133586
173,http://www.wikidata.org/entity/Q1133594
174,http://www.wikidata.org/entity/Q1156476
175,http://www.wikidata.org/entity/Q1227949
176,http://www.wikidata.org/entity/Q1865834
177,http://www.wikidata.org/entity/Q1874471
178,http://www.wikidata.org/entity/Q2275652
179,http://www.wikidata.org/entity/Q2281325
180,http://www.wikidata.org/entity/Q2284063
181,http://www.wikidata.org/entity/Q2289191
182,http://www.wikidata.org/entity/Q2303926
183,http://www.wikidata.org/entity/Q2312612
184,http://www.wikidata.org/entity/Q2313717
185,http://www.wikidata.org/entity/Q2314272
186,http://www.wikidata.org/entity/Q2343542
187,http://www.wikidata.org/entity/Q2371736
188,http://www.wikidata.org/entity/Q2393381
189,http://www.wikidata.org/entity/Q2443132
190,http://www.wikidata.org/entity/Q2460130
191,http://www.wikidata.org/entity/Q2464594
192,http://www.wikidata.org/entity/Q2475632
193,http://www.wikidata.org/entity/Q2480514
194,http://www.wikidata.org/entity/Q2497786
195,http://www.wikidata.org/entity/Q2530447
196,http://www.wikidata.org/entity/Q2856062
197,http://www.wikidata.org/entity/Q2870056
198,http://www.wikidata.org/entity/Q3068336
199,http://www.wikidata.org/entity/Q3151402
200,http://www.wikidata.org/entity/Q3161764
201,http://www.wikidata.org/entity/Q3324470
202,http://www.wikidata.org/entity/Q3385271
203,http://www.wikidata.org/entity/Q4757361
204,http://www.wikidata.org/entity/Q4766256
205,http://www.wikidata.org/entity/Q6500971
206,http://www.wikidata.org/entity/Q432944
207,http://www.wikidata.org/entity/Q437771
208,http://www.wikidata.org/entity/Q474411
209,http://www.wikidata.org/entity/Q561650
210,http://www.wikidata.org/entity/Q613336
211,http://www.wikidata.org/entity/Q618309
212,http://www.wikidata.org/entity/Q635572
213,http://www.wikidata.org/entity/Q644714
214,http://www.wikidata.org/entity/Q658737
215,http://www.wikidata.org/entity/Q689279
216,http://www.wikidata.org/entity/Q708333
217,http://www.wikidata.org/entity/Q729098
218,http://www.wikidata.org/entity/Q731829
